season,player,team,position,minutes_played,overall_percentile,goal_threat_percentile,link_play_percentile,non_pkxg_p90,non_penalty_goals_p90,shots_per_90,shots_on_target_pct,offensive_duels_won_pct,touches_in_box_per_90,key_passes_per_90,xa_per_90,xg,non_pkxg,goal_conversion_pct,offensive_duels_per_90,passes_to_penalty_area_per_90,accurate_passes_to_penalty_area_pct,penalties_taken,possession,shooting_impact,penalty_box_passes_impact,overall_percentile_z,goal_threat_percentile_z,link_play_percentile_z,non_pkxg_p90_z,non_penalty_goals_p90_z,shots_per_90_z,shots_on_target_pct_z,offensive_duels_won_pct_z,touches_in_box_per_90_z,key_passes_per_90_z,xa_per_90_z,xg_z,non_pkxg_z,goal_conversion_pct_z,offensive_duels_per_90_z,passes_to_penalty_area_per_90_z,accurate_passes_to_penalty_area_pct_z,penalties_taken_z,possession_z,shooting_impact_z,penalty_box_passes_impact_z
2024.0,E. Azcona,Las Vegas Lights,ST,925.0,0.851,0.06,0.851,0.067,0.0,0.078,0.918,0.833,0.23,0.216,0.855,1.23,1.23,0.0,0.993,0.582,0.894,0.0,59.94,0.472,0.787,1.2126116961583426,-1.52800051735028,1.215665253080608,-1.5006134067174175,-1.6832291130849644,-1.4464285224808862,1.4512438780893469,1.1546493670713909,-0.9420612849970212,-0.9529561435890704,1.3090758787253358,-1.3532460735807808,-1.3990813864396525,-1.713729042176762,1.7048985157445515,0.2873404685013395,1.3910410725965259,-0.6065793064596254,2.951426815368241,-0.10441768555079628,0.9928014152308927
2024.0,V. Noël,Las Vegas Lights,ST,3502.0,0.716,0.39,0.791,0.199,0.479,0.241,0.752,0.684,0.142,0.504,0.567,6.94,6.94,0.571,0.117,0.748,0.848,0.0,59.94,0.504,0.883,0.7439095936501842,-0.38886085683838006,1.006971620702829,-1.0456843863977214,-0.04541478878664951,-0.8863766211461646,0.8754684779408841,0.6391654548807176,-1.24679380258628,0.03985270644287487,0.3298827014695813,0.0876160998904645,0.3066158231376822,0.2498151946546665,-1.3287806742284154,0.8612311945215472,1.2317525919464198,-0.6065793064596254,2.951426815368241,0.006275932827710143,1.3250536816826655
2024.0,K. Bennett,Las Vegas Lights,ST,2458.0,0.241,0.858,0.039,0.681,0.791,0.812,0.809,0.34,0.514,0.007,0.0,12.19,9.23,0.855,0.248,0.021,0.546,4.0,59.94,0.897,0.078,-0.905227433693336,1.226646298069405,-1.6086552384320023,0.6154958241635928,1.0213870257876185,1.0755229841429526,1.073174488835236,-0.5509450538011059,0.04139365813195051,-1.6734320104525306,-1.5979038662526848,1.4124018110505407,0.9906870332834085,1.2264291408195103,-0.8751140373717274,-1.652133611603097,0.18598908854789917,2.0368791497068357,2.951426815368241,1.365731933538741,-1.4610200109598053
2025.0,C. Jennings,Charleston Battery,ST,2305.0,0.833,0.894,0.812,0.855,0.695,0.95,0.851,0.457,0.993,0.759,0.805,16.82,10.16,0.862,0.227,0.511,0.457,9.0,59.61,0.965,0.504,1.1501180824905881,1.3509160792161579,1.0800143920350518,1.2151749873122828,0.6931403136109204,1.5496773545981155,1.2188526021258106,-0.14616909590641605,1.7001081572825751,0.9189022090753264,1.1390770632295453,2.580736638225999,1.2684976120762141,1.2505006113235735,-0.9478392234327233,0.041881182071009895,-0.1221994935794796,5.341202219914912,2.85795808756395,1.6009558725930666,0.013349421419937042
2022.0,L. Solignac,El Paso Locomotive,ST,2339.0,0.826,0.993,0.592,0.936,0.968,0.652,0.989,0.496,0.766,0.504,0.493,14.16,11.94,0.972,0.309,0.28,0.755,3.0,59.23,0.996,0.454,1.1258150105086835,1.692657977369728,0.31480440664986153,1.4943359770539146,1.6265919013634047,0.5257787865137779,1.6975092600805566,-0.01124377660818613,0.9140367766830099,0.03985270644287487,0.07828445453581129,1.9095118779048936,1.800221085464595,1.6287665763874213,-0.6638646873850254,-0.7567257920896404,0.9097128375885973,1.3760145356652205,2.750327431304462,1.7081903153972449,-0.15969863402369464
2022.0,J. Gómez,El Paso Locomotive,ST,2504.0,0.759,0.245,0.727,0.344,0.167,0.794,0.248,0.631,0.713,0.798,0.805,8.24,6.02,0.181,0.979,0.468,0.16,3.0,59.23,0.457,0.27,0.8931998929675977,-0.8893919197905786,0.7843650794998646,-0.5459517504404797,-1.1122166033609173,1.0136767619096705,-0.8726688815460142,0.4558054055779946,0.7305046922258425,1.053345074183819,1.1390770632295453,0.4156582759872453,0.031792454869529974,-1.0913095905717032,1.6564150583705544,-0.10677725900651369,-1.1506490316899456,1.3760145356652205,2.750327431304462,-0.15630531916572096,-0.7965154780562593
2025.0,G. Hurst,New Mexico United,ST,1930.0,0.301,0.574,0.333,0.511,0.73,0.411,0.238,0.89,0.206,0.55,0.248,6.07,6.07,0.752,0.018,0.394,0.546,0.0,58.96,0.266,0.447,-0.6969153881341545,0.2462958023561336,-0.5860564397808847,0.029602388903378206,0.8128135940920083,-0.3022734111651666,-0.9073541466151986,1.3518479106611117,-1.0251701534304556,0.19842634221186628,-0.7547097413935631,-0.13191981795891966,0.04672850749279932,0.8722346462597255,-1.6716279799445384,-0.362608064581787,0.18598908854789917,-0.6065793064596254,2.6738530176464064,-0.8170078538624306,-0.1839253617858031
2024.0,MD Myers,Charleston Battery,ST,2760.0,0.408,0.904,0.525,0.933,0.77,0.525,0.975,0.025,0.816,0.55,0.567,14.53,13.79,0.816,0.606,0.227,0.514,1.0,58.38,0.943,0.284,-0.3254255735536143,1.3854354628680337,0.08176318382800839,1.483996681137558,0.9495830574989658,0.08941932964562051,1.6489498889836982,-1.6407264789021943,1.0871802525859975,0.19842634221186628,0.3298827014695813,2.0028777280247465,2.352855032525553,1.0923166622968732,0.3646772297633435,-0.9399559636503091,0.07517971070434719,0.05428530758198985,2.5095746475661365,1.5248540099578436,-0.7480620225320427
2024.0,J. Conway,Charleston Battery,ST,1000.0,0.213,0.684,0.121,0.784,0.713,0.787,0.468,0.124,0.255,0.043,0.17,4.13,4.13,0.465,0.447,0.301,0.819,0.0,58.38,0.66,0.514,-1.0024397216209542,0.6260090225267673,-1.3234406075157044,0.9704783172918404,0.7546865721440513,0.989625453263394,-0.10959305002395527,-1.2982237452989953,-0.8554895470455272,-1.5493309041985375,-1.0199078935669965,-0.6214596807495004,-0.5327903342900431,-0.1146956444068594,-0.18595632184133878,-0.6841251580750359,1.1313315932757009,-0.6065793064596254,2.5095746475661365,0.5459073224229285,0.047959032508663416
2023.0,T. Moshobane,San Diego Loyal,ST,2063.0,0.904,0.652,0.915,0.379,0.695,0.128,0.809,0.599,0.426,0.805,0.926,5.28,5.28,0.908,0.677,0.667,0.904,0.0,56.61,0.461,0.869,1.3966206697356196,0.5155469948407647,1.4382717942835725,-0.4253266314163178,0.6931403136109204,-1.274633460721769,1.073174488835236,0.3450974512820109,-0.2633388594573084,1.0774758448443178,1.5504741967293587,-0.3312685249715788,-0.18926112395485295,1.4086845603502736,0.6105576207314724,0.5812001776080725,1.4256690031726358,-0.6065793064596254,2.008242380252208,-0.14246861686840767,1.2766002261584486
